06-20 12:11:13.372   525  1913 I ActivityTaskManager: START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.DefaultCompany.MopubTest/com.unity3d.player.UnityPlayerActivity bnds=[439,958][640,1270]} from uid 10137
06-20 12:11:13.503   525   554 I ActivityManager: Start proc 3884:com.DefaultCompany.MopubTest/u0a154 for pre-top-activity {com.DefaultCompany.MopubTest/com.unity3d.player.UnityPlayerActivity}
06-20 12:11:52.689  3884  3997 I Unity   : MoPub:RequestInterstitialAd (string,string,string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:333)
06-20 12:11:52.689  3884  3997 I Unity   : SceneManager:<Start>b__14_2 () (at E:/repo/MopubTest/Assets/Scripts/SceneManager.cs:46)
06-20 12:11:52.689  3884  3997 I Unity   : UnityEngine.Events.InvokableCall:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent.cs:166)
06-20 12:11:52.689  3884  3997 I Unity   : UnityEngine.Events.UnityEvent:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent/UnityEvent_0.cs:58)
06-20 12:11:52.689  3884  3997 I Unity   : UnityEngine.UI.Button:Press () (at E:/repo/MopubTes
06-20 12:11:53.100  3884  4560 I UnityAds: com.unity3d.services.core.api.Sdk.logInfo() (line:84) :: AdPlan received with 1 campaigns and refreshDelay 3600
06-20 12:11:53.620  3884  4560 I UnityAds: com.unity3d.services.core.api.Sdk.logInfo() (line:84) :: Webview started using the latest version
06-20 12:11:53.661  3884  3997 I Unity   : [MoPub-Unity] [EmitInterstitialLoadedEvent] Ad loaded
06-20 12:11:53.661  3884  3997 I Unity   : UnityEngine.StackTraceUtility:ExtractStackTrace () (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs:37)
06-20 12:11:53.661  3884  3997 I Unity   : UnityEngine.DebugLogHandler:LogFormat (UnityEngine.LogType,UnityEngine.Object,string,object[])
06-20 12:11:53.661  3884  3997 I Unity   : UnityEngine.Logger:LogFormat (UnityEngine.LogType,string,object[])
06-20 12:11:53.661  3884  3997 I Unity   : UnityEngine.Debug:LogFormat (string,object[])
06-20 12:11:53.661  3884  3997 I Unity   : MoPubLog:Log (string,string,object[]) (at E:/repo/MopubTest/Assets/MoPub/Scripts/Internal/MoPubLog.cs:76)
06-20 12:11:53.661  3884  3997 I Unity   : MoPubManager:EmitInterstitialLoadedEvent (string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPubManager.cs:452)
06-20 12:11:53.661  3884  3997 I Unity   :  
06-20 12:11:53.661  3884  3997 I Unity   : (Filename: /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs Line: 37)
06-20 12:11:53.661  3884  3997 I Unity   : 
06-20 12:11:54.257  3884  3997 I Unity   : [MoPub-Unity] [RequestRewardedVideo] Attempting to load ad
06-20 12:11:54.257  3884  3997 I Unity   : UnityEngine.StackTraceUtility:ExtractStackTrace () (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs:37)
06-20 12:11:54.257  3884  3997 I Unity   : UnityEngine.DebugLogHandler:LogFormat (UnityEngine.LogType,UnityEngine.Object,string,object[])
06-20 12:11:54.257  3884  3997 I Unity   : UnityEngine.Logger:LogFormat (UnityEngine.LogType,string,object[])
06-20 12:11:54.257  3884  3997 I Unity   : UnityEngine.Debug:LogFormat (string,object[])
06-20 12:11:54.257  3884  3997 I Unity   : MoPubLog:Log (string,string,object[]) (at E:/repo/MopubTest/Assets/MoPub/Scripts/Internal/MoPubLog.cs:76)
06-20 12:11:54.257  3884  3997 I Unity   : MoPub:RequestRewardedVideo (string,System.Collections.Generic.List`1<MoPub/LocalMediationSetting>,string,string,double,double,string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:396)
06-20 12:11:54.257  3884  3997 I Unity   : SceneManager:<Start>b__14_3 () (at E:/repo/MopubTest/Assets/Scripts/SceneManager.cs:51)
06-20 12:11:54.257  3884  3997 I Unity   : UnityEngine.Events.InvokableCall:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent.cs:166)
06-20 12:11:54.257  3884  3997 I Unity   : UnityEngine.Events.UnityEvent:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/
06-20 12:11:54.625  3884  3997 I Unity   : [MoPub-Unity] [EmitRewardedVideoLoadedEvent] Ad loaded
06-20 12:11:54.625  3884  3997 I Unity   : UnityEngine.StackTraceUtility:ExtractStackTrace () (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs:37)
06-20 12:11:54.625  3884  3997 I Unity   : UnityEngine.DebugLogHandler:LogFormat (UnityEngine.LogType,UnityEngine.Object,string,object[])
06-20 12:11:54.625  3884  3997 I Unity   : UnityEngine.Logger:LogFormat (UnityEngine.LogType,string,object[])
06-20 12:11:54.625  3884  3997 I Unity   : UnityEngine.Debug:LogFormat (string,object[])
06-20 12:11:54.625  3884  3997 I Unity   : MoPubLog:Log (string,string,object[]) (at E:/repo/MopubTest/Assets/MoPub/Scripts/Internal/MoPubLog.cs:76)
06-20 12:11:54.625  3884  3997 I Unity   : MoPubManager:EmitRewardedVideoLoadedEvent (string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPubManager.cs:522)
06-20 12:11:54.625  3884  3997 I Unity   :  
06-20 12:11:54.625  3884  3997 I Unity   : (Filename: /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs Line: 37)
06-20 12:11:54.625  3884  3997 I Unity   : 
06-20 12:11:56.141  3884  3997 I Unity   : [MoPub-Unity] [ShowInterstitialAd] Attempting to show ad
06-20 12:11:56.141  3884  3997 I Unity   : UnityEngine.StackTraceUtility:ExtractStackTrace () (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs:37)
06-20 12:11:56.141  3884  3997 I Unity   : UnityEngine.DebugLogHandler:LogFormat (UnityEngine.LogType,UnityEngine.Object,string,object[])
06-20 12:11:56.141  3884  3997 I Unity   : UnityEngine.Logger:LogFormat (UnityEngine.LogType,string,object[])
06-20 12:11:56.141  3884  3997 I Unity   : UnityEngine.Debug:LogFormat (string,object[])
06-20 12:11:56.141  3884  3997 I Unity   : MoPubLog:Log (string,string,object[]) (at E:/repo/MopubTest/Assets/MoPub/Scripts/Internal/MoPubLog.cs:76)
06-20 12:11:56.141  3884  3997 I Unity   : MoPub:ShowInterstitialAd (string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:345)
06-20 12:11:56.141  3884  3997 I Unity   : SceneManager:<Start>b__14_4 () (at E:/repo/MopubTest/Assets/Scripts/SceneManager.cs:56)
06-20 12:11:56.141  3884  3997 I Unity   : UnityEngine.Events.InvokableCall:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent.cs:166)
06-20 12:11:56.141  3884  3997 I Unity   : UnityEngine.Events.UnityEvent:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent/UnityEvent_0.cs:58)
06-20 12:11:56.141  3884  3997 I Unity   : UnityEngine.UI.Button:Press () (at E:/repo/MopubTest/Library/PackageCac
06-20 12:11:56.184  3884  3884 I Unity   : onPause
06-20 12:11:56.188  3884  3997 D Unity   : Uploading Crash Report
06-20 12:11:56.266  3884  3997 D Unity   : Vulkan PSO: data extracted [new size=86755, old size=86755, incomplete=0]
06-20 12:11:56.266  3884  3997 D Unity   : Vulkan PSO: Pipeline cache has not changed skipping save handle[b502e580]
06-20 12:11:56.313  3884  3997 D Unity   : Sensor :        Accelerometer ( 1) ; 0.000248 / 0.01s ; Goldfish 3-axis Accelerometer / The Android Open Source Project 
06-20 12:11:56.371  3884  3884 D Unity   : onActivityResumed: com.mopub.mobileads.MoPubFullscreenActivity@e4b92
06-20 12:11:56.644  3884  3884 I Unity   : windowFocusChanged: false
06-20 12:11:57.157  3884  3884 D Unity   : PersistentUnitySurface.preserveContent: android.view.SurfaceView{d9f0b7 VFE...... .F....I. 0,0-1080,2340 #7f0800e1 app:id/unitySurfaceView aid=1073741824}
06-20 12:11:57.158  3884  3884 D Unity   : PersistentUnitySurface.PlaceholderView.Copy: android.view.SurfaceView{d9f0b7 VFE...... .F....I. 0,0-1080,2340 #7f0800e1 app:id/unitySurfaceView aid=1073741824}
06-20 12:11:57.179  3884  3997 D Unity   : SetWindow 0 0x0
06-20 12:11:57.194  3884  3884 D Unity   : onPixelCopyFinished: 0
06-20 12:11:57.698  3884  3884 D Unity   : onActivityResumed: com.unity3d.player.UnityPlayerActivity@adb7ff3
06-20 12:11:57.698  3884  3884 I Unity   : onResume
06-20 12:11:57.712  3884  3997 D Unity   : SetWindow 0 0xe6d6a828
06-20 12:11:57.712  3884  3997 D Unity   : SetWindow 0 0xe6d6a828
06-20 12:11:58.121  3884  3884 I Unity   : windowFocusChanged: true
06-20 12:11:58.122  3884  3997 D Unity   : AndroidDisplayManagerVulkan::AttachWindow(0xe6d6a828, 0)
06-20 12:11:58.126  3884  3997 D Unity   : InitializeOrResetSwapChain 1080x2340 hdr=0 samples=0
06-20 12:11:58.281  3884  3997 D Unity   : Sensor :        Accelerometer ( 1) ; 0.000248 / 0.01s ; Goldfish 3-axis Accelerometer / The Android Open Source Project 
06-20 12:11:58.286  3884  3997 D Unity   : Choreographer available: Enabling VSYNC timing
06-20 12:11:58.324  3884  3997 I Unity   : [MoPub-Unity] [EmitInterstitialShownEvent] Ad shown
06-20 12:11:58.324  3884  3997 I Unity   : UnityEngine.StackTraceUtility:ExtractStackTrace () (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs:37)
06-20 12:11:58.324  3884  3997 I Unity   : UnityEngine.DebugLogHandler:LogFormat (UnityEngine.LogType,UnityEngine.Object,string,object[])
06-20 12:11:58.324  3884  3997 I Unity   : UnityEngine.Logger:LogFormat (UnityEngine.LogType,string,object[])
06-20 12:11:58.324  3884  3997 I Unity   : UnityEngine.Debug:LogFormat (string,object[])
06-20 12:11:58.324  3884  3997 I Unity   : MoPubLog:Log (string,string,object[]) (at E:/repo/MopubTest/Assets/MoPub/Scripts/Internal/MoPubLog.cs:76)
06-20 12:11:58.324  3884  3997 I Unity   : MoPubManager:EmitInterstitialShownEvent (string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPubManager.cs:497)
06-20 12:11:58.324  3884  3997 I Unity   :  
06-20 12:11:58.324  3884  3997 I Unity   : (Filename: /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs Line: 37)
06-20 12:11:58.324  3884  3997 I Unity   : 
06-20 12:11:59.354  3884  3997 I Unity   : [MoPub-Unity] [ShowRewardedVideo] Attempting to show ad
06-20 12:11:59.354  3884  3997 I Unity   : UnityEngine.StackTraceUtility:ExtractStackTrace () (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs:37)
06-20 12:11:59.354  3884  3997 I Unity   : UnityEngine.DebugLogHandler:LogFormat (UnityEngine.LogType,UnityEngine.Object,string,object[])
06-20 12:11:59.354  3884  3997 I Unity   : UnityEngine.Logger:LogFormat (UnityEngine.LogType,string,object[])
06-20 12:11:59.354  3884  3997 I Unity   : UnityEngine.Debug:LogFormat (string,object[])
06-20 12:11:59.354  3884  3997 I Unity   : MoPubLog:Log (string,string,object[]) (at E:/repo/MopubTest/Assets/MoPub/Scripts/Internal/MoPubLog.cs:76)
06-20 12:11:59.354  3884  3997 I Unity   : MoPub:ShowRewardedVideo (string,string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:410)
06-20 12:11:59.354  3884  3997 I Unity   : SceneManager:<Start>b__14_5 () (at E:/repo/MopubTest/Assets/Scripts/SceneManager.cs:62)
06-20 12:11:59.354  3884  3997 I Unity   : UnityEngine.Events.InvokableCall:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent.cs:166)
06-20 12:11:59.354  3884  3997 I Unity   : UnityEngine.Events.UnityEvent:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent/UnityEvent_0.cs:58)
06-20 12:11:59.354  3884  3997 I Unity   : UnityEngine.UI.Button:Press () (at E:/repo/MopubTest/Library/Packa
06-20 12:11:59.368  3884  3884 I Unity   : onPause
06-20 12:11:59.382  3884  3997 D Unity   : Vulkan PSO: data extracted [new size=86755, old size=86755, incomplete=0]
06-20 12:11:59.382  3884  3997 D Unity   : Vulkan PSO: Pipeline cache has not changed skipping save handle[b502e580]
06-20 12:11:59.457  3884  3997 D Unity   : Sensor :        Accelerometer ( 1) ; 0.000248 / 0.01s ; Goldfish 3-axis Accelerometer / The Android Open Source Project 
06-20 12:11:59.866  3884  3884 D Unity   : onActivityResumed: com.mopub.mobileads.MoPubFullscreenActivity@e8cd15b
06-20 12:12:00.176  3884  3884 I Unity   : windowFocusChanged: false
06-20 12:12:01.033  3884  3884 D Unity   : PersistentUnitySurface.preserveContent: android.view.SurfaceView{d9f0b7 VFE...... .F....I. 0,0-1080,2340 #7f0800e1 app:id/unitySurfaceView aid=1073741824}
06-20 12:12:01.033  3884  3884 D Unity   : PlacerHoler view already exists
06-20 12:12:01.034  3884  3997 D Unity   : SetWindow 0 0x0
06-20 12:12:33.420  3884  3884 D Unity   : onActivityResumed: com.unity3d.player.UnityPlayerActivity@adb7ff3
06-20 12:12:33.420  3884  3884 I Unity   : onResume
06-20 12:12:33.435  3884  3997 D Unity   : SetWindow 0 0xe6d6da88
06-20 12:12:33.436  3884  3997 D Unity   : SetWindow 0 0xe6d6da88
06-20 12:12:33.594  3884  3884 I Unity   : windowFocusChanged: true
06-20 12:12:33.594  3884  3997 D Unity   : AndroidDisplayManagerVulkan::AttachWindow(0xe6d6da88, 0)
06-20 12:12:33.598  3884  3997 D Unity   : InitializeOrResetSwapChain 1080x2340 hdr=0 samples=0
06-20 12:12:33.757  3884  3997 D Unity   : Sensor :        Accelerometer ( 1) ; 0.000248 / 0.01s ; Goldfish 3-axis Accelerometer / The Android Open Source Project 
06-20 12:12:33.761  3884  3997 D Unity   : Choreographer available: Enabling VSYNC timing
06-20 12:12:33.827  3884  3997 I Unity   : [MoPub-Unity] [EmitRewardedVideoShownEvent] Ad shown
06-20 12:12:33.827  3884  3997 I Unity   : UnityEngine.StackTraceUtility:ExtractStackTrace () (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs:37)
06-20 12:12:33.827  3884  3997 I Unity   : UnityEngine.DebugLogHandler:LogFormat (UnityEngine.LogType,UnityEngine.Object,string,object[])
06-20 12:12:33.827  3884  3997 I Unity   : UnityEngine.Logger:LogFormat (UnityEngine.LogType,string,object[])
06-20 12:12:33.827  3884  3997 I Unity   : UnityEngine.Debug:LogFormat (string,object[])
06-20 12:12:33.827  3884  3997 I Unity   : MoPubLog:Log (string,string,object[]) (at E:/repo/MopubTest/Assets/MoPub/Scripts/Internal/MoPubLog.cs:76)
06-20 12:12:33.827  3884  3997 I Unity   : MoPubManager:EmitRewardedVideoShownEvent (string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPubManager.cs:556)
06-20 12:12:33.827  3884  3997 I Unity   :  
06-20 12:12:33.827  3884  3997 I Unity   : (Filename: /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs Line: 37)
06-20 12:12:33.827  3884  3997 I Unity   : 
06-20 12:12:37.596  3884  3997 I Unity   : [MoPub-Unity] [RequestRewardedVideo] Attempting to load ad
06-20 12:12:37.596  3884  3997 I Unity   : UnityEngine.StackTraceUtility:ExtractStackTrace () (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs:37)
06-20 12:12:37.596  3884  3997 I Unity   : UnityEngine.DebugLogHandler:LogFormat (UnityEngine.LogType,UnityEngine.Object,string,object[])
06-20 12:12:37.596  3884  3997 I Unity   : UnityEngine.Logger:LogFormat (UnityEngine.LogType,string,object[])
06-20 12:12:37.596  3884  3997 I Unity   : UnityEngine.Debug:LogFormat (string,object[])
06-20 12:12:37.596  3884  3997 I Unity   : MoPubLog:Log (string,string,object[]) (at E:/repo/MopubTest/Assets/MoPub/Scripts/Internal/MoPubLog.cs:76)
06-20 12:12:37.596  3884  3997 I Unity   : MoPub:RequestRewardedVideo (string,System.Collections.Generic.List`1<MoPub/LocalMediationSetting>,string,string,double,double,string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:396)
06-20 12:12:37.596  3884  3997 I Unity   : SceneManager:<Start>b__14_3 () (at E:/repo/MopubTest/Assets/Scripts/SceneManager.cs:51)
06-20 12:12:37.596  3884  3997 I Unity   : UnityEngine.Events.InvokableCall:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent.cs:166)
06-20 12:12:37.596  3884  3997 I Unity   : UnityEngine.Events.UnityEvent:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/
06-20 12:12:37.797  3884  3997 I Unity   : [MoPub-Unity] [EmitRewardedVideoFailedEvent] Ad failed to load: (30c362fc0e0a46b991d8a543e7bfde7c) No ads found.
06-20 12:12:37.797  3884  3997 I Unity   : UnityEngine.StackTraceUtility:ExtractStackTrace () (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs:37)
06-20 12:12:37.797  3884  3997 I Unity   : UnityEngine.DebugLogHandler:LogFormat (UnityEngine.LogType,UnityEngine.Object,string,object[])
06-20 12:12:37.797  3884  3997 I Unity   : UnityEngine.Logger:LogFormat (UnityEngine.LogType,string,object[])
06-20 12:12:37.797  3884  3997 I Unity   : UnityEngine.Debug:LogFormat (string,object[])
06-20 12:12:37.797  3884  3997 I Unity   : MoPubLog:Log (string,string,object[]) (at E:/repo/MopubTest/Assets/MoPub/Scripts/Internal/MoPubLog.cs:76)
06-20 12:12:37.797  3884  3997 I Unity   : MoPubManager:EmitRewardedVideoFailedEvent (string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPubManager.cs:534)
06-20 12:12:37.797  3884  3997 I Unity   :  
06-20 12:12:37.797  3884  3997 I Unity   : (Filename: /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs Line: 37)
06-20 12:12:37.797  3884  3997 I Unity   : 
06-20 12:12:38.625  3884  3997 I Unity   : [MoPub-Unity] [RequestInterstitialAd] Attempting to load ad
06-20 12:12:38.625  3884  3997 I Unity   : UnityEngine.StackTraceUtility:ExtractStackTrace () (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs:37)
06-20 12:12:38.625  3884  3997 I Unity   : UnityEngine.DebugLogHandler:LogFormat (UnityEngine.LogType,UnityEngine.Object,string,object[])
06-20 12:12:38.625  3884  3997 I Unity   : UnityEngine.Logger:LogFormat (UnityEngine.LogType,string,object[])
06-20 12:12:38.625  3884  3997 I Unity   : UnityEngine.Debug:LogFormat (string,object[])
06-20 12:12:38.625  3884  3997 I Unity   : MoPubLog:Log (string,string,object[]) (at E:/repo/MopubTest/Assets/MoPub/Scripts/Internal/MoPubLog.cs:76)
06-20 12:12:38.625  3884  3997 I Unity   : MoPub:RequestInterstitialAd (string,string,string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:333)
06-20 12:12:38.625  3884  3997 I Unity   : SceneManager:<Start>b__14_2 () (at E:/repo/MopubTest/Assets/Scripts/SceneManager.cs:46)
06-20 12:12:38.625  3884  3997 I Unity   : UnityEngine.Events.InvokableCall:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent.cs:166)
06-20 12:12:38.625  3884  3997 I Unity   : UnityEngine.Events.UnityEvent:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent/UnityEvent_0.cs:58)
06-20 12:12:38.625  3884  3997 I Unity   : UnityEngine.UI.Button:Press () (at E:/repo/MopubTes
06-20 12:12:38.879  3884  3997 I Unity   : [MoPub-Unity] [EmitInterstitialFailedEvent] Ad failed to load: (bb45288e5142444aae022b55a6035d0c) No ads found.
06-20 12:12:38.879  3884  3997 I Unity   : UnityEngine.StackTraceUtility:ExtractStackTrace () (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs:37)
06-20 12:12:38.879  3884  3997 I Unity   : UnityEngine.DebugLogHandler:LogFormat (UnityEngine.LogType,UnityEngine.Object,string,object[])
06-20 12:12:38.879  3884  3997 I Unity   : UnityEngine.Logger:LogFormat (UnityEngine.LogType,string,object[])
06-20 12:12:38.879  3884  3997 I Unity   : UnityEngine.Debug:LogFormat (string,object[])
06-20 12:12:38.879  3884  3997 I Unity   : MoPubLog:Log (string,string,object[]) (at E:/repo/MopubTest/Assets/MoPub/Scripts/Internal/MoPubLog.cs:76)
06-20 12:12:38.879  3884  3997 I Unity   : MoPubManager:EmitInterstitialFailedEvent (string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPubManager.cs:464)
06-20 12:12:38.879  3884  3997 I Unity   :  
06-20 12:12:38.879  3884  3997 I Unity   : (Filename: /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs Line: 37)
06-20 12:12:38.879  3884  3997 I Unity   : 
06-20 12:12:40.542  3884  3997 I Unity   : [MoPub-Unity] [RequestInterstitialAd] Attempting to load ad
06-20 12:12:40.542  3884  3997 I Unity   : UnityEngine.StackTraceUtility:ExtractStackTrace () (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs:37)
06-20 12:12:40.542  3884  3997 I Unity   : UnityEngine.DebugLogHandler:LogFormat (UnityEngine.LogType,UnityEngine.Object,string,object[])
06-20 12:12:40.542  3884  3997 I Unity   : UnityEngine.Logger:LogFormat (UnityEngine.LogType,string,object[])
06-20 12:12:40.542  3884  3997 I Unity   : UnityEngine.Debug:LogFormat (string,object[])
06-20 12:12:40.542  3884  3997 I Unity   : MoPubLog:Log (string,string,object[]) (at E:/repo/MopubTest/Assets/MoPub/Scripts/Internal/MoPubLog.cs:76)
06-20 12:12:40.542  3884  3997 I Unity   : MoPub:RequestInterstitialAd (string,string,string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:333)
06-20 12:12:40.542  3884  3997 I Unity   : SceneManager:<Start>b__14_2 () (at E:/repo/MopubTest/Assets/Scripts/SceneManager.cs:46)
06-20 12:12:40.542  3884  3997 I Unity   : UnityEngine.Events.InvokableCall:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent.cs:166)
06-20 12:12:40.542  3884  3997 I Unity   : UnityEngine.Events.UnityEvent:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent/UnityEvent_0.cs:58)
06-20 12:12:40.542  3884  3997 I Unity   : UnityEngine.UI.Button:Press () (at E:/repo/MopubTes
06-20 12:12:40.939  3884  3997 I Unity   : [MoPub-Unity] [EmitInterstitialLoadedEvent] Ad loaded
06-20 12:12:40.939  3884  3997 I Unity   : UnityEngine.StackTraceUtility:ExtractStackTrace () (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs:37)
06-20 12:12:40.939  3884  3997 I Unity   : UnityEngine.DebugLogHandler:LogFormat (UnityEngine.LogType,UnityEngine.Object,string,object[])
06-20 12:12:40.939  3884  3997 I Unity   : UnityEngine.Logger:LogFormat (UnityEngine.LogType,string,object[])
06-20 12:12:40.939  3884  3997 I Unity   : UnityEngine.Debug:LogFormat (string,object[])
06-20 12:12:40.939  3884  3997 I Unity   : MoPubLog:Log (string,string,object[]) (at E:/repo/MopubTest/Assets/MoPub/Scripts/Internal/MoPubLog.cs:76)
06-20 12:12:40.939  3884  3997 I Unity   : MoPubManager:EmitInterstitialLoadedEvent (string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPubManager.cs:452)
06-20 12:12:40.939  3884  3997 I Unity   :  
06-20 12:12:40.939  3884  3997 I Unity   : (Filename: /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs Line: 37)
06-20 12:12:40.939  3884  3997 I Unity   : 
06-20 12:12:41.493  3884  3997 I Unity   : [MoPub-Unity] [RequestRewardedVideo] Attempting to load ad
06-20 12:12:41.493  3884  3997 I Unity   : UnityEngine.StackTraceUtility:ExtractStackTrace () (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs:37)
06-20 12:12:41.493  3884  3997 I Unity   : UnityEngine.DebugLogHandler:LogFormat (UnityEngine.LogType,UnityEngine.Object,string,object[])
06-20 12:12:41.493  3884  3997 I Unity   : UnityEngine.Logger:LogFormat (UnityEngine.LogType,string,object[])
06-20 12:12:41.493  3884  3997 I Unity   : UnityEngine.Debug:LogFormat (string,object[])
06-20 12:12:41.493  3884  3997 I Unity   : MoPubLog:Log (string,string,object[]) (at E:/repo/MopubTest/Assets/MoPub/Scripts/Internal/MoPubLog.cs:76)
06-20 12:12:41.493  3884  3997 I Unity   : MoPub:RequestRewardedVideo (string,System.Collections.Generic.List`1<MoPub/LocalMediationSetting>,string,string,double,double,string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:396)
06-20 12:12:41.493  3884  3997 I Unity   : SceneManager:<Start>b__14_3 () (at E:/repo/MopubTest/Assets/Scripts/SceneManager.cs:51)
06-20 12:12:41.493  3884  3997 I Unity   : UnityEngine.Events.InvokableCall:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent.cs:166)
06-20 12:12:41.493  3884  3997 I Unity   : UnityEngine.Events.UnityEvent:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/
06-20 12:12:41.839  3884  3997 I Unity   : [MoPub-Unity] [EmitRewardedVideoLoadedEvent] Ad loaded
06-20 12:12:41.839  3884  3997 I Unity   : UnityEngine.StackTraceUtility:ExtractStackTrace () (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs:37)
06-20 12:12:41.839  3884  3997 I Unity   : UnityEngine.DebugLogHandler:LogFormat (UnityEngine.LogType,UnityEngine.Object,string,object[])
06-20 12:12:41.839  3884  3997 I Unity   : UnityEngine.Logger:LogFormat (UnityEngine.LogType,string,object[])
06-20 12:12:41.839  3884  3997 I Unity   : UnityEngine.Debug:LogFormat (string,object[])
06-20 12:12:41.839  3884  3997 I Unity   : MoPubLog:Log (string,string,object[]) (at E:/repo/MopubTest/Assets/MoPub/Scripts/Internal/MoPubLog.cs:76)
06-20 12:12:41.839  3884  3997 I Unity   : MoPubManager:EmitRewardedVideoLoadedEvent (string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPubManager.cs:522)
06-20 12:12:41.839  3884  3997 I Unity   :  
06-20 12:12:41.839  3884  3997 I Unity   : (Filename: /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs Line: 37)
06-20 12:12:41.839  3884  3997 I Unity   : 
06-20 12:12:43.506  3884  3997 I Unity   : [MoPub-Unity] [ShowInterstitialAd] Attempting to show ad
06-20 12:12:43.506  3884  3997 I Unity   : UnityEngine.StackTraceUtility:ExtractStackTrace () (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs:37)
06-20 12:12:43.506  3884  3997 I Unity   : UnityEngine.DebugLogHandler:LogFormat (UnityEngine.LogType,UnityEngine.Object,string,object[])
06-20 12:12:43.506  3884  3997 I Unity   : UnityEngine.Logger:LogFormat (UnityEngine.LogType,string,object[])
06-20 12:12:43.506  3884  3997 I Unity   : UnityEngine.Debug:LogFormat (string,object[])
